day,platform,format,topic,hook,caption,cta,status
1,TikTok/Reels,Video,No necesitas motivacion,"Si empiezas muchas cosas y no terminas ninguna, este video es para ti.","El problema no siempre es falta de metas. Muchas veces es falta de estructura para volver cuando el animo desaparece. 100 Dias: El Metodo empieza con una accion: ejecutar el siguiente dia.","Comenta CONTROL y te envio el acceso Alpha.",Pendiente
1,Instagram,Story,Encuesta inicial,"Pregunta directa","Sientes que estas reaccionando mas de lo que estas dirigiendo?","Vota en la encuesta.",Pendiente
2,TikTok/Reels,Video,Vivir reaccionando,"La mayoria no vive. Reacciona.","Reaccionas al telefono, al estres, al cansancio y al animo. El Metodo existe para recuperar control con estructura diaria.","Comenta CONTROL.",Pendiente
2,Facebook,Post largo,Invitacion Alpha,"Busco 10 personas para probar 100 Dias: El Metodo.","Estoy abriendo un Grupo Alpha de 14 dias para validar si una persona real puede recuperar control ejecutando una accion diaria. No es motivacion. Es estructura.","Escribeme CONTROL.",Pendiente
3,Instagram,Carrusel,Formula oficial,"Dominio Personal = Control + Fortaleza + Direccion","Control ordena. Fortaleza sostiene. Direccion decide. Esa es la base de 100 Dias: El Metodo.","Guarda este post y comenta CONTROL.",Pendiente
3,TikTok/Reels,Video,Dia 1,"No pienses en 100 dias. Piensa en el Dia 1.","La mente abandona cuando el cambio se ve enorme. Por eso el Metodo se centra en la siguiente accion, no en la fantasia del resultado final.","Comenta DIA1.",Pendiente
4,Instagram,Story,Caja de preguntas,"Que patron quieres romper?","Responde con el patron que mas se repite en tu vida: abandonar, procrastinar, reaccionar, distraerte o improvisar.","Responde la caja.",Pendiente
4,TikTok/Reels,Video,Fallar un dia,"Fallar un dia no destruye el Metodo. No volver si lo destruye.","La disciplina real no es perfeccion. Es regresar al marco despues de incomodidad, cansancio o error.","Comenta VOLVER.",Pendiente
5,Facebook,Post largo,Problema profundo,"El problema no es que no sepas que hacer.","Muchas personas saben lo que deberian hacer. Lo que no tienen es un sistema para ejecutar cuando no tienen ganas. Por eso nace 100 Dias.","Entra al Alpha por USD 9.",Pendiente
5,TikTok/Reels,Video,Regla no negociable,"Tu vida cambia cuando dejas de negociar con todo.","Una regla simple puede recuperar mas control que una lista enorme de metas. En el Dia 0 defines la regla que no vas a negociar.","Comenta CONTROL.",Pendiente
6,Instagram,Carrusel,Para quien es,"Este Metodo no es para todo el mundo.","No es para motivacion rapida. No es para soluciones magicas. Es para personas dispuestas a ejecutar aunque sea incomodo.","Comparte con alguien que necesita estructura.",Pendiente
6,TikTok/Reels,Video,Estoicismo practico,"El estoicismo no es una frase bonita. Es una practica diaria.","Controlas tu accion, tu respuesta y tu regreso al marco. Eso es lo que entrenamos durante 100 dias.","Comenta ESTOICO.",Pendiente
7,TikTok/Reels,Video,Cierre semana 1,"Si hoy fuera tu Dia 7, que habrias recuperado?","La meta inicial no es cambiar toda tu vida. Es demostrar que puedes volver durante una semana.","Comenta CONTROL para entrar al Alpha.",Pendiente
7,Instagram,Story,Prueba social interna,"Dia 7 es la primera senal","La metrica mas importante no son likes. Es llegar al Dia 7.","Responde: llegarias?",Pendiente
8,TikTok/Reels,Video,Caos diario,"El caos no se elimina pensando. Se reduce ejecutando.","Ordenar una accion diaria cambia la relacion que tienes con tu dia. Control empieza pequeno.","Comenta CONTROL.",Pendiente
8,Facebook,Post largo,Explicacion del sistema,"Como funciona 100 Dias: El Metodo.","Primero defines Dia 0. Luego ejecutas Dia 1. Despues mides avance. No dependes de motivacion. Dependemos del sistema.","Pide el acceso Alpha.",Pendiente
9,Instagram,Carrusel,Volver al marco,"Volver al marco es la habilidad central.","No se trata de no fallar. Se trata de notar el desvio y regresar antes de abandonar por completo.","Guarda este carrusel.",Pendiente
9,TikTok/Reels,Video,Incomodidad,"La incomodidad no es una senal para parar.","Muchas veces es la puerta de entrada a Fortaleza. Si solo actuas cuando tienes ganas, el animo dirige tu vida.","Comenta FORTALEZA.",Pendiente
10,TikTok/Reels,Video,Direccion,"Tener muchas metas no es tener direccion.","Direccion es elegir una accion coherente y protegerla del ruido del dia.","Comenta DIRECCION.",Pendiente
10,Instagram,Story,Encuesta de compra,"Entrarias a un Alpha de USD 9?","14 dias. Sistema de dominio personal. Objetivo: llegar al Dia 7.","Vota si/no.",Pendiente
11,Facebook,Post largo,Cupos limitados,"Quedan cupos para el Grupo Alpha.","No busco cientos de personas. Busco 10 usuarios reales que quieran probar si pueden ejecutar durante 14 dias.","Escribeme CONTROL.",Pendiente
11,TikTok/Reels,Video,No es PDF,"No estas comprando un PDF. Estas entrando a un sistema.","Los documentos son herramientas. El producto real es la ejecucion diaria: Dia 0, Dia 1, avance y regreso al marco.","Comenta CONTROL.",Pendiente
12,Instagram,Carrusel,Senales de descontrol,"4 senales de que estas viviendo reaccionando.","Abandonas lo que empiezas. Dependends del animo. Improvisas todo. Te prometes cambios que no sostienes.","Entra al Alpha.",Pendiente
12,TikTok/Reels,Video,Compromiso,"No necesitas empezar perfecto. Necesitas empezar claro.","El Dia 0 existe para definir por que estas aqui, que patron rompes y que regla no negocias.","Comenta DIA0.",Pendiente
13,TikTok/Reels,Video,Ultimos cupos,"Ultimos cupos Alpha para 100 Dias: El Metodo.","Si quieres probar una estructura real durante 14 dias, este es el momento. No prometo magia. Prometo un sistema para ejecutar.","Comenta CONTROL.",Pendiente
13,Instagram,Story,Cierre Alpha,"Cierre manana","Manana cierro el acceso Alpha inicial. Cupos limitados para observar comportamiento real.","Toca el link.",Pendiente
14,TikTok/Reels,Video,Cierre,"Hoy cierro el Grupo Alpha.","La pregunta es simple: estas dispuesto a ejecutar durante una semana o solo quieres otra idea bonita?","Comenta CONTROL antes del cierre.",Pendiente
14,Facebook,Post largo,Cierre oficial,"Cierre del primer Alpha.","100 Dias: El Metodo entra en validacion. La primera meta no es vender mucho. Es descubrir quien ejecuta Dia 1 y quien llega al Dia 7.","Ultimo llamado: acceso Alpha USD 9.",Pendiente
